"areas","indices"
"ARNAVUTKOY",21.15
"SULTANGAZI",21.72
"CATALCA",22.31
"SILE",23.13
"SULTANBEYLI",27.76
"SILIVRI",29.02
"ADALAR",29.1
"ESENLER",29.7
"SANCAKTEPE",30.84
"CEKMEKOY",31.11
"GAZIOSMANPASA",31.29
"BUYUKCEKMECE",34.54
"ESENYURT",36.12
"GUNGOREN",36.29
"AVCILAR",36.56
"KUCUKCEKMECE",38.02
"BAGCILAR",38.8
"TUZLA",39.79
"EYUP",39.8
"BEYLIKDUZU",40.96
"KAGITHANE",41.33
"BEYKOZ",41.59
"ZEYTINBURNU",41.69
"BAYRAMPASA",41.72
"BASAKSEHIR",41.79
"KARTAL",42
"PENDIK",43.78
"BAHCELIEVLER",44.6
"UMRANIYE",45.23
"MALTEPE",45.8
"ATASEHIR",49.15
"BEYOGLU",50.44
"SARIYER",50.72
"FATIH",52.6
"USKUDAR",53.01
"BAKIRKOY",59.39
"BESIKTAS",65.04
"KADIKOY",65.61
"SISLI",65.63
